cn,ID
f__Nocardiaceae.g__Rhodococcus,V142
f__Nocardioidaceae.g__,V143
f__Nocardioidaceae.g__Aeromicrobium,V144
f__Nocardioidaceae.g__Friedmanniella,V145
f__Oxalobacteraceae.g__,V146
f__Oxalobacteraceae.g__Janthinobacterium,V147
f__Pasteurellaceae.g__,V148
f__Pasteurellaceae.g__Actinobacillus,V149
f__Pasteurellaceae.g__Aggregatibacter,V150
f__Pasteurellaceae.g__Haemophilus,V151
f__Peptococcaceae.g__Peptococcus,V152
f__Peptostreptococcaceae.g__,V153
f__Peptostreptococcaceae.g__Filifactor,V154
f__Peptostreptococcaceae.g__Peptostreptococcus,V155
f__Planococcaceae.g__,V156
f__Planococcaceae.g__Lysinibacillus,V157
f__Planococcaceae.g__Planomicrobium,V158
f__Porphyromonadaceae.g__Paludibacter,V159
f__Porphyromonadaceae.g__Porphyromonas,V160
f__Porphyromonadaceae.g__Tannerella,V161
f__Prevotellaceae.g__Prevotella,V162
f__Propionibacteriaceae.g__,V163
f__Propionibacteriaceae.g__Microlunatus,V164
f__Propionibacteriaceae.g__Propionibacterium,V165
f__Pseudomonadaceae.g__,V166
f__Pseudomonadaceae.g__Pseudomonas,V167
f__Pseudonocardiaceae.g__Actinomycetospora,V168
f__Pseudonocardiaceae.g__Amycolatopsis,V169
f__Pseudonocardiaceae.g__Pseudonocardia,V170
f__Rhizobiaceae.g__,V171
f__Rhizobiaceae.g__Agrobacterium,V172
f__Rhodobacteraceae.g__,V173
f__Rhodobacteraceae.g__Amaricoccus,V174
f__Rhodobacteraceae.g__Paracoccus,V175
f__Rhodospirillaceae.g__Skermanella,V176
f__Rs.045.g__,V177
f__Ruminococcaceae.g__,V178
f__Ruminococcaceae.g__Faecalibacterium,V179
f__Ruminococcaceae.g__Ruminococcus,V180
f__Solirubrobacteraceae.g__,V181
f__Solirubrobacteraceae.g__Solirubrobacter,V182
f__Sphingobacteriaceae.g__Sphingobacterium,V183
f__Sphingomonadaceae.g__,V184
f__Sphingomonadaceae.g__Kaistobacter,V185
f__Sphingomonadaceae.g__Novosphingobium,V186
f__Sphingomonadaceae.g__Sphingobium,V187
f__Sphingomonadaceae.g__Sphingomonas,V188
f__Spirochaetaceae.g__Treponema,V189
f__Sporichthyaceae.g__,V190
f__Staphylococcaceae.g__,V191
f__Staphylococcaceae.g__Jeotgalicoccus,V192
f__Staphylococcaceae.g__Macrococcus,V193
f__Staphylococcaceae.g__Salinicoccus,V194
f__Staphylococcaceae.g__Staphylococcus,V195
f__Streptococcaceae.g__,V196
f__Streptococcaceae.g__Lactococcus,V197
f__Streptococcaceae.g__Streptococcus,V198
f__Streptomycetaceae.g__,V199
f__Trueperaceae.g__Truepera,V200
f__Veillonellaceae.g__,V201
f__Veillonellaceae.g__Dialister,V202
f__Veillonellaceae.g__Megasphaera,V203
f__Veillonellaceae.g__Selenomonas,V204
f__Veillonellaceae.g__Veillonella,V205
f__Xanthomonadaceae.g__,V206
f__Xanthomonadaceae.g__Luteimonas,V207
f__Xanthomonadaceae.g__Stenotrophomonas,V208
f__Yaniellaceae.g__Yaniella,V209
