"","SeqBatch","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209"
"SA101V1L",2,0,8,3,3,103,1,1096,122,0,0,17,742,0,14,30,0,0,0,0,0,0,3,369,0,0,0,0,82,0,4,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,8,0,0,0,21,25,37,0,0,386,0,0,0,0,0,0,0,0,6,1,1,0,0,11512,65,0,0,9,3,5,0,0,0,0,96,0,0,1,0,0,0,19,342,147,31,0,0,0,0,0,0,6,2,188,0,0,0,1,12,0,39,0,33,0,0,0,0,1,4,0,4,3,2,2,0,0,0,6,25,46,1,437,110,195,0,44,10,0,2,1962,0,0,17,1049,2,0,0,0,6,0,6,116,206,647,1,0,0,4,415,0,0,2,70,0,190,0,5,45791,3,34,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0,7,32396,7,336,4923,85,5,0,23,1,15,252,4,0,153,0
"SA104V1L",3,0,2,7,0,42,0,391,308,4,0,7,367,3,10,24,2,0,0,0,0,1,1,150,0,0,17,13,23,6,25880,15,2,13,0,2,0,0,0,13,15,0,0,0,3,0,0,1,16,0,0,0,15,54,16,5,3,137,37,2,0,0,0,1,1,0,0,1,0,0,1,22605,0,26,3,12,3,68,0,3,20,0,101,1,0,3,9,2,0,13,46,240,23,5,0,0,9,0,1,96,1,103,2,12,0,0,5,0,41,0,26,0,0,0,0,0,2,0,1,1,1,11,0,1,11,49,17,475,0,171,2,177,1,359,2,0,4,64,0,0,3,119,1,0,1,0,23,0,8,58,32,189,1,0,0,3,248,0,0,0,73,0,344,1,1,13258,12,55,0,2,5,0,5,1,9,15,0,0,0,0,2,6,2,0,0,2,0,11,14,2,1,0,10,0,0,8040,4,29,4575,81,0,0,22,4,3,227,1,0,13,0
"SA105V1L",3,0,27,0,0,1,0,628,1,0,0,0,347,0,0,1,8,2,0,0,3,1,3,16,0,2,0,3,0,0,3,0,0,0,0,2,0,0,11,2,8,0,0,0,0,0,1,5,4,0,0,0,1,2,2,0,0,17,1,0,0,6,0,0,0,0,11,0,0,0,2,6620,12,0,0,0,0,4,0,0,2,7,94,5,0,0,0,0,0,2,6,15,1,1,2,11,0,0,0,3,0,3,0,0,0,0,2,0,5,0,3,0,0,0,0,1,31,1,0,0,1,4,0,2,1,31,12,24,0,31,0,55,0,9,1,0,2,510,0,0,0,7,1,11,0,12,36,0,0,4,5,17,0,0,0,0,303,0,0,0,4,0,26,0,0,7659,5,76,0,0,3,0,6,0,0,2,0,0,0,0,0,1,0,1,1,15,0,1,67,0,2,0,2,0,0,66196,0,6,141,13,0,0,1,0,3,4,13,0,1,0
"SA106V1L",1,0,0,1,0,1,0,2,6,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,12,0,0,93224,0,4,0,0,0,0,1,22,0,19,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,5,9,4,0,0,1,0,0,0,8,0,0,0,0,9867,0,1,0,8,0,9,0,2,6,0,8,0,0,0,0,6,0,0,1,9,1,0,0,0,0,0,0,16,0,5,0,0,0,0,1,0,34,0,0,0,0,0,0,4,3,0,1,1,0,12,2,0,4,34,20,69,0,36,1,16,0,8,3,0,6,4,3,0,0,16,0,9,0,0,3,0,0,10,8,19,0,0,0,0,162,6,0,0,5,0,38,0,0,2674,6,33,1,0,0,0,8,0,0,1,0,0,0,3,0,5,0,0,0,0,0,2,15,0,3,0,0,1,0,6841,0,0,222,5,0,0,0,0,0,8,3,0,0,0
"SA109V1R",1,3,48,0,0,5,0,644,311,0,0,2,1,0,0,0,17,0,0,1,0,1,10,35,0,0,0,3,0,4,3526,0,0,0,0,0,0,4,3,0,5,0,1,3,0,4,2,0,11,2,0,1,0,194,4,6,0,2,12,10,0,0,0,0,0,0,0,2,0,0,0,38867,0,3,1,19,1,12,0,0,3,0,1892,0,0,0,0,0,0,4,68,0,0,6,0,0,0,0,0,10,0,817,0,0,0,0,2,0,268,0,84,0,0,0,3,2,7,0,0,0,1,0,0,0,14,10,11,402,0,69,2,67,0,39,3,0,1,4,6,1,0,27,2,0,1,0,11,0,127,609,0,2574,0,0,0,2,216,0,0,8,7,3,86,0,1,14550,2,90,0,4,0,1,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,9,2,0,0,7,0,0,5381,5,3,11864,89,0,0,17,1,5,21,8,0,629,0
"SA112V1R",2,3,22,0,0,134,5,6079,3271,0,0,92,5015,0,7,0,0,0,0,11,0,0,0,90,0,0,0,24,1,0,21581,509,1,0,0,11,0,0,17,24,11,1,19,0,51,38,3,0,9,7,3,9,0,351,0,0,0,195,25,0,1,0,0,0,26,14,1,0,0,6,4,14794,0,0,7,150,62,0,0,1,69,1,18,15,0,2,0,0,0,0,1065,296,9,0,0,0,17,0,0,72,0,222,52,162,0,0,0,0,6,49,25,1020,0,0,0,12,11,0,2,0,0,3,6,0,6,10,36,274,1,518,2,14,6,93,8,0,0,9,16,0,1,39,0,0,0,0,11,0,90,26,73,416,1,0,0,58,417,0,0,0,52,0,1839,2,0,14176,3,104,9,0,6,1,5,0,0,34,0,0,25,200,0,2,0,0,0,0,6,0,35,6,0,0,0,0,0,34013,2,14,3299,2,0,1,237,7,3,69,8,3,0,1
"SA114VXR",4,0,0,0,0,1,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,2,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4098,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,8,1,0,0,0,2,0,0,99,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,53005,0,0,26,7,0,0,0,0,0,1,0,0,2,0
"SA115V1L",3,0,0,3,0,26,0,1466,634,3,1,1,818,0,9,2,0,0,0,0,0,0,0,96,0,1,0,2,24,0,10,105,0,0,0,0,0,0,1,11,87,8,0,0,0,0,2,0,1,0,0,0,1,31,0,0,0,27,3,0,0,3,0,0,3,2,0,0,0,1,0,29033,0,1,3,7,13,20,0,0,0,0,5,0,0,0,0,0,1,2,29,25,4,0,0,0,0,0,0,5,0,76,0,0,0,3,1,0,65,0,20,0,0,0,0,2,3,6,0,0,0,2,0,0,2,24,18,50,1,700,0,10,0,3,3,0,3,9,0,0,1,55,0,0,0,3,7,0,0,8,10,22,0,0,1,3,754,0,0,1,42,2,88,0,0,10319,3,15,1,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,27569,2,4,2969,93,0,0,33,2,8,96,0,0,1,0
"SA116V1L",1,0,0,15,0,23,0,660,106,0,0,22,533,0,0,4,0,0,0,1,0,0,0,163,0,0,0,0,7,0,8,1,0,0,0,0,0,0,0,1,6,0,8,0,0,0,0,0,9,0,0,1,0,329,0,7,0,104,0,11,0,0,0,0,0,2,22,1,0,0,13,29990,0,0,0,1,0,5,0,0,0,0,109,0,0,0,34,0,0,8,280,67,16,5,0,0,1,0,0,3,0,73,1,21,4,1,14,0,26,8,48,0,0,0,0,9,3,31,11,0,0,5,0,0,2,9,23,109,1,364,10,23,0,8,3,0,0,21461,0,6,0,21,8,5,0,0,6,0,5,20,131,195,3,0,9,13,71,0,4,0,93,0,380,1,0,58906,27,214,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,14011,0,6,632,163,0,0,334,0,0,75,0,0,0,0
"SA118VXL",4,0,0,1,0,5,0,2696,3291,0,0,6,2376,0,0,9,0,0,0,0,0,0,4,160,0,0,0,1,11,5,6,5,0,0,0,0,0,0,2,0,1,0,0,0,1,0,4,0,3,0,0,0,4,547,12,7,0,86,0,0,0,0,0,1,0,139,4,0,0,0,2,16292,0,3,0,4,0,0,0,0,0,0,14,5,20,2,0,0,0,9,103,96,1,0,0,0,0,0,0,2,0,56,0,0,0,1,1,0,10,0,47,0,2,0,7,1,1,0,4,2,2,5,0,0,1,3,0,19,0,184,5,9,0,0,3,1,2,4,0,0,9,95,2,0,1,0,4,0,6,89,56,71,0,1850,2,11,212,0,0,0,11,0,21416,0,0,4798,15,51,2,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,6823,4,42,2918,16,0,0,7289,0,1,163,2,0,5,0
"SA120V1L",3,0,1,0,3,0,0,172,30,0,0,4,75,0,0,1,3,0,2,0,0,0,0,29,0,2,0,0,0,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,8,5,0,0,9,0,0,0,0,0,0,0,0,2,4,14,0,0,0,0,0,0,0,0,0,1,1,2926,0,0,0,4,3,147,0,0,0,0,13,0,0,0,0,0,0,0,26,10,5,0,0,0,0,0,0,48,0,2,0,0,0,0,2,0,7,0,7,1,0,0,0,3,0,0,1,0,0,2,0,0,7,7,5,183,0,10,2,39,0,21,2,0,2,922,0,0,0,9,0,0,0,0,4,0,0,0,1,2,0,0,0,0,230,0,0,1,7,0,27,0,0,2557,6,49,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,51,12,0,75247,0,1,81,9,0,0,0,0,0,15,0,0,2,0
"SA121VXL",1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,83,0,0,0,0,0,388,0,0,0,0,16,34,2,0,0,0,0,0,0,0,0,82,0,0,0,22,502,250,26,0,0,0,0,0,22,40,0,0,0,246,2,0,0,0,0,0,0,29,0,0,19,110,0,213,0,0,0,0,0,0,0,0,0,0,35,8,0,0,0,0,0,31,26,0,0,0,0,0,0,0,0,0,0,66,0,28,0,0,0,0,16,0,96,39,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,118,23,0,0,23,96951,0,0,12,0,0,0,78,0,0,19,0,0,0,5,1,0,304,0,0,0,0,20,0,0,0,0,0,489,0,0,3513,0,166,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,2,0,0,55,0,0,0,50,0,0,384,0,23,2846,1,0,0,0,50,25,261,0,0,0,0
"SA122V1L",4,0,0,0,0,14,0,1289,329,0,0,1,637,0,0,5,0,0,0,0,0,0,1,31,0,0,0,18,13,1,4312,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,20,6,0,0,0,19,1,0,0,0,5,0,0,0,0,0,0,0,5,12158,0,1,2,4,2,0,1,0,0,0,1,0,0,0,1,1,0,0,25,15,0,1,1,0,2,0,0,0,0,5,0,0,1,1,1,0,5,0,7,0,0,0,0,0,3,0,0,0,0,1,0,0,0,28,2,17,0,56,3,2,0,13,1,0,0,124,0,0,0,45,1,0,0,1,0,0,0,9,93,82,0,0,1,1,148,0,0,1,0,2,157,1,0,2404,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,12564,0,0,228,0,0,0,1,4,6,109,0,0,0,0
"SA123V1L",4,0,2,0,0,22,1,994,347,0,0,0,320,0,1,1,7,0,0,0,0,0,1,46,0,0,0,16,8,1,9323,3,6,1,12,0,0,0,1,0,16,0,0,1,0,0,2,0,2,0,1,0,10,2,0,0,0,39,2,1,0,0,0,0,0,0,1,1,0,1,1,13872,0,0,3,25,10,89,0,0,0,0,80,0,0,0,0,1,0,0,4,18,1,0,0,0,17,0,0,87,2,15,0,0,0,1,0,0,1,0,1,0,0,0,0,2,6,0,2,0,0,1,2,0,1,39,2,26,1,36,2,12,0,6,1,0,0,53,0,0,0,15,2,2,0,1,7,1,1,12,3,47,0,0,0,0,285,0,0,1,3,0,42,0,1,21243,4,20,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25679,0,3,644,39,0,0,27,0,1,19,2,0,6,0
"SA125V1L",5,0,0,0,0,13,0,0,18,0,0,6,0,0,0,0,0,14,0,0,13,0,0,10,3,0,6,0,0,0,3,0,0,0,0,0,0,0,5,0,11,0,4,0,12,14,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,13,0,0,0,9,0,145,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,34,19,0,6,0,0,1,0,0,3,0,7,17,6,0,0,0,7,0,0,0,4,0,0,0,17,3,0,0,0,0,1,0,0,0,0,4,1,0,15,0,132,0,0,6,0,5,1,0,0,0,0,0,7,0,4,2,0,0,0,0,0,0,0,3,1,61,0,1,0,0,0,70,0,0,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,2,1,0,22,0,0,0,1,0,0,117198,0,0,95,1,0,0,0,12,0,16,0,0,3,0
"SA126V1L",2,0,0,0,2,74,0,99,28,0,0,4,46,0,0,5,2,0,0,0,2,0,0,64,0,0,0,1,0,0,3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,7,7498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,56,3,0,0,0,0,0,0,0,0,24,0,0,0,0,3,0,17,0,9,0,0,0,0,13,6,6,0,0,0,0,0,0,0,1,3,25,0,91,78743,8,0,14,867,0,0,1766,0,0,0,131,0,1,0,0,2,0,14,19,10,212,0,0,0,4,23,0,0,0,43,0,54,0,0,6807,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1285,0,0,765,22,0,0,0,0,0,33,0,0,0,0
"SA127V1L",4,0,0,0,0,1,0,62,13,0,0,0,22,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4807,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,6,3,0,0,1,5,0,1,291,0,0,1,0,0,0,0,0,0,0,0,6,127,106,0,0,0,1,64,0,0,0,0,0,3,0,0,763,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8527,0,1,41,0,0,0,0,0,0,9,0,0,0,0
"SA130V1R",3,1,12,3,0,11,0,105,11,2,0,0,5,0,1,1,2,3,0,2,0,0,0,31,0,0,1,17,7,2,3821,7,0,0,0,0,0,1,43,0,101,2,0,0,1,0,13,3,3,0,0,0,2,1,1,0,0,31,1,0,1,8,1,2,0,1,27,1,0,1,0,9815,20,0,1,3,5,3,0,0,1,2,409,15,1,1,0,0,0,1,33,51,2,3,0,1,3,0,1,29,5,54,0,0,0,0,0,0,25,0,8,0,1,0,0,13,73,44,30,2,4,10,0,1,3,34,1,29,0,42,0,13,0,0,8,0,15,730,0,0,0,36,3,17,2,9,38,0,2,11,132,89,0,0,1,2,898,1,0,0,5,0,33,4,2,1590,5,20,8,0,12,1,9,0,0,0,3,1,0,0,0,20,2,1,1,10,4,0,108,0,1,0,3,0,0,16099,1,3,1227,6,0,0,4,0,0,36,5,0,5,0
"SA132VXR",5,0,1,23,1,13,1,2194,1354,0,115,6,1596,9,214,0,3,2,6,0,0,0,1,312,0,9,28,0,12,15,96,396,0,0,0,0,0,1,0,0,4,0,4,0,0,6,2,0,348,0,0,0,13,212,0,1,0,156,26,1,0,0,0,0,0,6,0,0,0,7,32,22847,0,0,25,336,76,67,1,0,0,0,12,0,0,0,4,2,4,2,24,63,6,5,0,0,0,0,0,16,0,88,3,2,0,4,10,1,4,0,29,0,0,0,4,2,15,1,48,0,0,0,158,0,14,12,38,255,9,279,7,34,0,15,0,40,1,356,0,0,0,54,0,2,0,0,8,0,0,9,48,49,2,0,0,1,1208,0,0,0,138,1,590,22,2,4778,4,36,1,2,4,1,12,0,0,8,3,0,1,0,0,2,0,7,0,1,2,0,15,0,1,29,6345,1116,168,16646,6,2,18553,0,0,1,149,37,7,399,1,1,5,0
"SA133V1R",1,0,0,0,0,1049,0,64,42,0,0,6,7,0,0,12,5,0,0,0,0,0,0,405,0,1,0,4,196,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,0,0,1831,0,0,0,0,0,0,0,0,0,0,0,2,1,658,0,0,0,2,0,1,0,0,0,0,0,0,0,69,3,0,9,22,1716,399,160,0,0,0,0,0,0,1,0,194,0,0,0,0,2,0,42,0,173,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,18,0,1397,0,2,0,0,1,0,1,12,0,7,8,607,3,0,0,0,0,0,573,1014,6926,8622,0,0,0,5,193,0,0,2,288,15,1829,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,161,0,16265,1,0,0,9,1,9,2493,0,0,0,0
"SA135V1R",4,1,3,8,0,7,0,678,615,0,0,0,1553,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,20,0,0,0,0,0,15,0,0,0,0,64,0,0,10,0,0,0,0,0,8,0,0,0,0,25872,0,0,4,0,38,15,0,0,3,0,813,3,0,0,5,0,0,0,35,10,0,5,3,0,0,0,0,14,0,3,0,0,1,0,1,0,6,0,7,0,0,0,0,0,0,11,3,0,3,9,0,0,3,3,0,29,1,30,0,51,0,0,1,0,0,4862,0,0,0,11,0,0,0,0,0,0,0,15,0,87,0,0,9,10,33,0,0,0,63,0,553,0,0,16060,31,286,0,0,3,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,4694,0,8,288,37,0,0,194,0,1,79,0,0,0,0
"SA138V1R",5,0,2,4,0,3,0,462,1009,0,0,1,238,0,0,0,0,0,0,0,0,0,8,900,0,0,8,16,6,0,12,1,0,0,0,0,5,0,0,0,3,2,0,0,0,0,14,0,0,0,0,1,0,7,0,0,0,1,9,0,0,0,0,0,0,12,0,0,0,0,0,19902,0,1,0,0,10,1,0,0,0,0,27,6,377,0,0,0,0,0,16,2,9,0,0,0,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,11,11,12,0,12,46,0,0,1,28497,0,11,1,0,0,0,2,0,0,0,1,1,0,0,5,0,19,0,0,0,0,107,2,0,0,19,0,908,0,0,12759,9,30,0,0,1,1,203,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,4910,0,1,154,12,0,0,93,0,0,21,0,1,0,0
"SA140V1R",1,0,0,0,1,3,0,17,9,0,0,5,2,0,0,4,0,0,0,0,0,0,0,67,0,0,0,0,0,12,5,18,0,0,0,0,0,0,7,0,10,0,0,0,3,16,0,0,19,0,0,0,0,16,2,0,0,21,3,0,0,0,0,0,0,0,0,0,0,19,2,86966,0,0,1,0,1,1,0,0,0,0,6,0,0,0,2,0,0,2,115,18,1,0,0,0,0,0,0,6,2,7,0,2,0,0,0,0,0,0,19,0,0,0,0,2,1,0,1,0,0,2,1,0,2,5,0,22,1,41,1,96,0,4,2,0,0,3,0,1,10,10,0,0,0,0,3,0,0,3,5,16,0,0,0,2,171,3,0,0,11,0,41,0,0,1243,14,25,5,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,7,4,0,0,2,0,3,17478,1,6,288,0,0,0,4,3,5,73,0,0,1,0
"SA141V1R",4,0,4,14,4,345,7,693,592,152,16,49,282,0,17,0,4,1,3,10,11,0,0,318,5,250,4,0,1,10,12,162,0,0,0,0,5,4,1,0,3,0,0,0,294,50,2,1,1032,1,0,0,5,46,1,0,0,270,214,9,0,2,0,0,0,429,2,2,0,204,58,17673,2,0,1,34,8,47,3,1,30,0,386,25,1,1,10,0,2,2,92,210,21,4,0,0,14,0,0,177,8,138,0,7,1,12,14,482,6,0,24,457,0,0,1,2,19,1,1,0,0,7,34,0,32,29,630,861,139,200,4964,4956,47,846,172,0,3,814,0,0,4,21,2,0,0,7,71,0,5,31,559,155,6,3,5,27,386,0,0,2,70,4,1421,1,1,10715,9,102,0,1,0,19,31,6,0,176,2,10,0,1,0,2,0,0,1,0,6,1,106,8,0,0,13,16,2,4110,11,16,5553,13,0,0,285,1268,41,589,14,0,34,7
"SA142V1L",3,0,0,0,0,0,1,1831,827,0,0,0,2232,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,14950,0,0,1,0,3,1,0,0,1,0,52,0,0,0,0,0,0,0,20,16,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,28,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,35,2,5,0,2,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,3,0,0,3,2,9,0,0,0,0,240,0,0,0,1,0,2,0,0,7578,6,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20006,2,2,55,37,0,0,0,0,0,3,0,0,0,0
"SA143V1R",2,0,0,0,0,260,0,2852,592,151,0,0,3478,0,102,0,0,0,0,0,0,0,0,23,0,0,0,0,55,0,0,129,0,191,3,0,0,0,0,0,0,0,0,0,576,0,0,0,1150,0,0,0,0,1407,0,0,213,403,0,0,0,0,0,0,0,0,0,0,0,0,0,13297,0,114,0,0,478,0,0,0,0,0,0,0,212,0,0,0,0,69,304,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,256,1,0,0,0,0,0,0,88,109,0,0,0,0,133,0,6,0,272,135,0,237,2,0,0,84,6,0,0,4994,0,0,0,2,0,0,0,0,0,0,0,0,0,62,0,0,0,0,163,0,0,0,1990,0,8486,0,0,1673,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,1967,0,0,3179,0,0,0,1366,0,0,398,0,0,0,0
"SA144V1L",2,0,3,2,0,10,0,1583,257,0,0,0,115,3,0,0,1,0,2,0,0,0,5,94,0,0,0,0,21,0,4,5,0,1,5,0,0,3,7,0,4,0,0,0,0,2,0,0,0,0,0,0,7,75,0,0,0,57,0,0,0,0,0,0,0,5,18,0,0,27,0,3158,23,0,0,0,28,12,0,0,0,6,31,0,0,0,6,0,0,30,80,76,1,0,0,0,0,0,0,3,0,5,0,19,0,1,0,0,2,0,99,25,0,0,0,0,0,0,1,1,0,1,0,0,1,7,2,27,0,267,1,84,0,5,20,0,0,40,8,0,0,203,23,5,0,0,21,2,31,17,120,275,0,0,3,0,354,0,0,0,28,0,158,0,3,5793,10,162,2,1,2,1,7,0,0,0,0,0,0,0,7,0,0,0,0,7,2,0,49,0,0,0,6,0,0,86022,1,18,834,3,11,0,14,23,3,107,8,0,3,0
"SA145V1L",2,3,57,17,5,13,0,1192,20,2,0,230,202,0,6,3,15,1,0,0,7,0,0,175,4,237,0,1,0,85,27,19,0,0,0,0,0,4,1,0,0,0,0,0,4288,568,0,0,6,0,0,0,0,10,0,2,1,81,17,3,0,0,0,1,0,173,3,0,0,655,39,4153,4,185,0,14,3,19,3,0,0,0,155,2,0,1,4,1,1,4,34,15,4,1,1,15,116,0,0,34,2,45,1,0,0,4,1,0,30,0,21,230,0,3,0,2,7,0,2,2,3,15,3,0,6,11,24,75,1,115,93,126,1,47,40415,0,0,1231,0,1,6,3,1,2,0,2,29,0,6,4,6,27,8,0,4,6,351,0,0,2,11,3,561,0,0,13347,2,97,1,0,1,1,4,4,0,33,0,2,0,0,0,2,0,0,0,1,0,0,33,5,2,0,21,5,2,15516,1,4,1243,0,0,1,249,244,4,108,3,0,5,2
"SA146V1L",2,0,18,1,0,4,2,897,160,0,0,0,942,1,0,0,0,0,7,4,0,0,0,11,0,0,0,1,0,0,4,4,0,0,0,0,0,0,6,0,5,0,0,0,0,0,7,0,2,0,1,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,1,0,0,0,0,17577,0,0,0,7,2,0,0,0,0,0,5,8,0,0,0,0,0,0,9,6,0,2,0,0,1,0,1,8,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,0,3,2,2,4,1,0,0,10,0,23,1,6,57,8,0,0,60318,0,0,12,20,0,0,4,0,1,0,1,1,0,5,2,0,1,0,0,0,2,49,0,0,0,0,0,7,0,5,14423,1,57,0,0,1,0,1,0,0,20,0,0,0,0,0,5,0,0,2,1,0,0,12,0,1,0,0,0,0,6165,0,2,58,62,0,0,6,0,0,1,1,0,0,0
"SA147V1L",3,0,2,2,0,19,2,1418,85,1,0,3,1267,0,1,0,1,0,0,0,0,0,0,64,0,0,0,16,5,0,6,3,0,0,0,0,0,0,4,3,10,0,0,0,4,6,2,0,15,0,0,0,1,10,0,0,0,67,0,0,0,0,0,0,0,0,0,0,1,0,2,8688,0,0,0,0,1,0,0,0,0,0,7,1,0,1,0,0,0,5,23,105,3,3,0,0,0,0,0,0,0,77,0,0,1,5,0,0,108,0,29,0,0,13,0,0,3,0,0,0,0,3,10,0,1,25,3,16,0,171,1,1,0,5,4,0,0,338,8,0,4,19,0,2,0,0,4,0,41,102,17,57,0,0,1,0,631,1,0,0,29,1,198,0,0,8503,10,29,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,18083,3,0,3729,8,0,0,2,1,8,101,2,0,1,0
