cn,ID
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Micrococcaceae..g__Micrococcus,V52
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Micrococcaceae..g__Micrococcus..s__,V53
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Micrococcaceae..g__Nesterenkonia..s__,V54
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Micrococcaceae..g__Rothia,V55
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Micrococcaceae..g__Rothia..s__aeria,V56
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Micrococcaceae..g__Rothia..s__dentocariosa,V57
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Micrococcaceae..g__Rothia..s__mucilaginosa,V58
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Mycobacteriaceae..g__Mycobacterium..s__,V59
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Nocardiaceae..g__Rhodococcus..s__,V60
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Nocardiaceae..g__Rhodococcus..s__fascians,V61
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Nocardioidaceae..g__..s__,V62
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Nocardioidaceae..g__Aeromicrobium..s__,V63
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Nocardioidaceae..g__Friedmanniella..s__,V64
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Propionibacteriaceae..g__..s__,V65
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Propionibacteriaceae..g__Microlunatus..s__,V66
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Propionibacteriaceae..g__Propionibacterium,V67
