cn,ID
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Bradyrhizobiaceae..g__..s__,V227
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Bradyrhizobiaceae..g__Balneimonas..s__,V228
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Brucellaceae..g__..s__,V229
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Brucellaceae..g__Ochrobactrum..s__,V230
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Hyphomicrobiaceae..g__Rhodoplanes..s__,V231
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Methylobacteriaceae..g__..s__,V232
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Methylobacteriaceae..g__Methylobacterium,V233
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Methylobacteriaceae..g__Methylobacterium..s__,V234
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Methylobacteriaceae..g__Methylobacterium..s__komagatae,V235
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Methylobacteriaceae..g__Methylobacterium..s__organophilum,V236
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Methylocystaceae..g__..s__,V237
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Rhizobiaceae,V238
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Rhizobiaceae..g__..s__,V239
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Rhizobiaceae..g__Agrobacterium..s__,V240
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodobacterales..f__Rhodobacteraceae,V241
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodobacterales..f__Rhodobacteraceae..g__Amaricoccus..s__,V242
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodobacterales..f__Rhodobacteraceae..g__Paracoccus,V243
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodobacterales..f__Rhodobacteraceae..g__Paracoccus..s__,V244
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodobacterales..f__Rhodobacteraceae..g__Paracoccus..s__aminovorans,V245
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodobacterales..f__Rhodobacteraceae..g__Paracoccus..s__marcusii,V246
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodospirillales..f__Acetobacteraceae..g__..s__,V247
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodospirillales..f__Acetobacteraceae..g__Roseomonas..s__mucosa,V248
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodospirillales..f__Rhodospirillaceae..g__Skermanella..s__,V249
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Erythrobacteraceae..g__..s__,V250
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Sphingomonadaceae..g__..s__,V251
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Sphingomonadaceae..g__Kaistobacter..s__,V252
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Sphingomonadaceae..g__Novosphingobium..s__,V253
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Sphingomonadaceae..g__Sphingobium..s__,V254
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Sphingomonadaceae..g__Sphingomonas,V255
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Sphingomonadaceae..g__Sphingomonas..s__,V256
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Sphingomonadaceae..g__Sphingomonas..s__wittichii,V257
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Alcaligenaceae..g__..s__,V258
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Alcaligenaceae..g__Achromobacter..s__,V259
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Alcaligenaceae..g__Sutterella..s__,V260
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Burkholderiaceae..g__Burkholderia..s__,V261
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Burkholderiaceae..g__Lautropia..s__,V262
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Comamonadaceae,V263
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Comamonadaceae..g__..s__,V264
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Comamonadaceae..g__Delftia..s__,V265
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Comamonadaceae..g__Tepidimonas..s__,V266
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Oxalobacteraceae,V267
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Oxalobacteraceae..g__..s__,V268
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Burkholderiales..f__Oxalobacteraceae..g__Janthinobacterium..s__,V269
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Neisseriales..f__Neisseriaceae,V270
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Neisseriales..f__Neisseriaceae..g__..s__,V271
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Neisseriales..f__Neisseriaceae..g__Conchiformibius..s__,V272
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Neisseriales..f__Neisseriaceae..g__Eikenella..s__,V273
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Neisseriales..f__Neisseriaceae..g__Kingella..s__,V274
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Neisseriales..f__Neisseriaceae..g__Neisseria,V275
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Neisseriales..f__Neisseriaceae..g__Neisseria..s__,V276
k__Bacteria..p__Proteobacteria..c__Betaproteobacteria..o__Neisseriales..f__Neisseriaceae..g__Neisseria..s__subflava,V277
k__Bacteria..p__Proteobacteria..c__Epsilonproteobacteria..o__Campylobacterales..f__Campylobacteraceae..g__Campylobacter,V278
k__Bacteria..p__Proteobacteria..c__Epsilonproteobacteria..o__Campylobacterales..f__Campylobacteraceae..g__Campylobacter..s__,V279
k__Bacteria..p__Proteobacteria..c__Epsilonproteobacteria..o__Campylobacterales..f__Campylobacteraceae..g__Campylobacter..s__ureolyticus,V280
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria,V281
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Aeromonadales..f__Aeromonadaceae..g__..s__,V282
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Cardiobacteriales..f__Cardiobacteriaceae..g__Cardiobacterium..s__,V283
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Enterobacteriales..f__Enterobacteriaceae,V284
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Enterobacteriales..f__Enterobacteriaceae..g__..s__,V285
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Enterobacteriales..f__Enterobacteriaceae..g__Erwinia,V286
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Enterobacteriales..f__Enterobacteriaceae..g__Erwinia..s__,V287
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Oceanospirillales..f__Halomonadaceae..g__Halomonas..s__,V288
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pasteurellales..f__Pasteurellaceae,V289
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pasteurellales..f__Pasteurellaceae..g__..s__,V290
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pasteurellales..f__Pasteurellaceae..g__Actinobacillus,V291
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pasteurellales..f__Pasteurellaceae..g__Actinobacillus..s__,V292
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pasteurellales..f__Pasteurellaceae..g__Actinobacillus..s__parahaemolyticus,V293
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pasteurellales..f__Pasteurellaceae..g__Aggregatibacter,V294
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pasteurellales..f__Pasteurellaceae..g__Aggregatibacter..s__,V295
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pasteurellales..f__Pasteurellaceae..g__Aggregatibacter..s__segnis,V296
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pasteurellales..f__Pasteurellaceae..g__Haemophilus..s__,V297
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pasteurellales..f__Pasteurellaceae..g__Haemophilus..s__parainfluenzae,V298
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae,V299
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__..s__,V300
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Acinetobacter,V301
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Acinetobacter..s__,V302
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Acinetobacter..s__johnsonii,V303
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Acinetobacter..s__lwoffii,V304
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Acinetobacter..s__rhizosphaerae,V305
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Acinetobacter..s__schindleri,V306
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Alkanindiges..s__,V307
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Enhydrobacter..s__,V308
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Moraxella,V309
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Moraxella..s__,V310
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Moraxellaceae..g__Psychrobacter..s__sanguinis,V311
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Pseudomonadaceae,V312
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Pseudomonadaceae..g__..s__,V313
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Pseudomonadaceae..g__Pseudomonas,V314
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Pseudomonadaceae..g__Pseudomonas..s__,V315
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Pseudomonadaceae..g__Pseudomonas..s__fragi,V316
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Pseudomonadaceae..g__Pseudomonas..s__nitroreducens,V317
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Xanthomonadales..f__Xanthomonadaceae..g__..s__,V318
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Xanthomonadales..f__Xanthomonadaceae..g__Luteimonas..s__,V319
k__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Xanthomonadales..f__Xanthomonadaceae..g__Stenotrophomonas,V320
k__Bacteria..p__Spirochaetes..c__Spirochaetes..o__Spirochaetales..f__Spirochaetaceae..g__Treponema..s__,V321
k__Bacteria..p__Spirochaetes..c__Spirochaetes..o__Spirochaetales..f__Spirochaetaceae..g__Treponema..s__amylovorum,V322
k__Bacteria..p__SR1..c__..o__..f__..g__..s__,V323
k__Bacteria..p__Synergistetes..c__Synergistia..o__Synergistales..f__Dethiosulfovibrionaceae..g__TG5..s__,V324
k__Bacteria..p__TM7..c__TM7.3..o__..f__..g__..s__,V325
k__Bacteria..p__TM7..c__TM7.3..o__CW040..f__..g__..s__,V326
k__Bacteria..p__TM7..c__TM7.3..o__CW040..f__F16..g__..s__,V327
k__Bacteria..p__TM7..c__TM7.3..o__I025..f__Rs.045..g__..s__,V328
