OTUID	SA118VXL	SA001V3L	SA002V1R	SA008V3R	SA009V3R	SA016V3R	SA024V3L	SA053V1R	SA055V3R	SA056V1R	SA057V1R	SA058V1L	SA064V5L	SA066V1R	SA069V3R	SA074V1R	SA076V1R	SA071VXR	SA077V1R	SA078V1R	SA081V1L	SA082V1R	SA087V1L	SA088V3L	SA094V1L	SA096V1R	SA091V1R	SA100V1L	SA101V1L	SA098V1L	SA104V1L	SA105V1L	SA106V1L	SA112V1R	SA115V1L	SA116V1L	SA120V1L	SA122V1L	SA123V1L	SA125V1L	SA126V1L	SA130V1R	SA132VXR	SA133V1R	SA135V1R	SA140V1R	SA141V1R	SA142V1L	SA143V1R	SA144V1L	SA145V1L	SA146V1L	SA147V1L	SA148V1L	SA121VXL	SA138V1R	SA114VXR	SA070V1L	SA084V1L	SA039V5L	SA109V1R	SA127V1L
New.CleanUp.ReferenceOTU70532	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
New.CleanUp.ReferenceOTU37267	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU79276	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
New.CleanUp.ReferenceOTU11684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	1	0	0
New.CleanUp.ReferenceOTU84502	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	9	1	0	0	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
New.ReferenceOTU446	0	0	0	0	35	11	0	0	6	25	0	17	1	0	0	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	22	0	0	66	0	0	0	10	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
New.CleanUp.ReferenceOTU70891	30	9	1	13	15	0	0	2	17	1	111	38	1	5	20	0	2	253	4	32	6	0	0	7	0	2	33	93	17	0	6	34	0	79	56	5	22	11	13	0	0	0	21	0	6	0	0	144	0	4	3	10	53	0	0	0	0	0	0	150	0	0
New.CleanUp.ReferenceOTU76147	0	0	1	0	0	1	0	3	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
New.CleanUp.ReferenceOTU44181	0	0	1	0	0	1	0	0	0	0	2	4	0	0	6	2	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	4	0	0	5	0	0	0	3	0	0	1	22	0	0	0	0	0	2	0	0	179	0	0
New.CleanUp.ReferenceOTU65913	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	2	0	0	1	0	0	0	0	0	0	11	0	0	1	15	0	0	1	0	0	0	0	0	0	0	0
New.ReferenceOTU118	0	0	0	1	0	1	0	3	2	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
New.CleanUp.ReferenceOTU19681	2	0	0	0	0	0	0	0	6	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU33576	1	0	0	6	1	0	0	6	37	0	0	5	0	0	4	1	0	1	0	11	3	0	0	0	0	0	0	3	1	0	2	0	0	3	5	0	9	0	0	0	0	0	0	1	1	4	1	0	0	8	0	0	9	0	0	0	0	2	1	2	2	1
861780	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	4	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4310396	1	39	0	4	1	0	0	53	9	0	0	2	0	0	12	2	0	0	0	223	0	2	0	0	0	13	0	0	11	0	0	0	0	2	22	0	0	1	0	8	10	0	9	21	0	1	21	0	143	0	4	0	7	11	2	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU42656	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2469654	0	19	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU36191	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU28231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	71	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU32171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	86	0	0	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
269907	4	0	7	0	0	0	0	17	16	6	2	43	2	4	76	403	1	0	39	1150	0	22	3	0	3	52	0	6	81	0	38	1	1	112	3	3	0	7	21	5	60	9	3	800	0	1	249	0	117	4	5	3	7	9	0	3	0	0	9	0	0	1
New.CleanUp.ReferenceOTU31923	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU65182	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU82674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU21911	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU42110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU36766	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	7	6	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	8	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
898309	0	0	0	0	0	4	1	34	8	1	0	16	0	0	80	93	0	1	380	149	86	12	0	0	0	25	0	0	29	0	22	0	11	0	1	47	1	0	1	2	2	9	7	596	59	8	78	0	0	13	0	0	6	0	68	3	0	0	0	0	0	0
999477	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU48753	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU69424	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	3	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	29	0	0	0	0	0	0
705241	0	14	2	1	0	2	0	12	25	0	1	2	0	0	14	2	0	1	88	75	0	0	0	0	0	3	0	0	2	0	10	0	0	2	1	0	0	6	0	2	0	1	5	0	0	4	48	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU48110	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
741701	0	0	21	0	0	52	0	0	3	0	0	3	0	0	48	0	0	0	0	3	23	0	4	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
374568	0	0	0	4	0	4	1	0	3	0	0	0	0	0	0	16	202	0	402	0	0	4	2	0	0	3	0	0	0	0	11	0	0	121	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	0	13	0	0	0	0	540	0	0	0	0	0	0
851668	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	2	22	0	48	0	0	1	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	79	0	0	0	0	0	0
246785	1	21	0	0	0	6	0	196	9	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	1	1	8	8	22	0	0	0	0	1	44	0	0	24	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0
New.CleanUp.ReferenceOTU24962	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	5	0	7	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
611110	23	0	0	0	0	0	0	59	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
2635230	1	0	1	2	2	0	2	199	14	0	0	4	0	4	1	10	2	0	9	14	22	2	3	0	0	4	143	0	14	0	0	6	0	0	1	0	0	6	0	0	0	0	4	2	0	0	14	0	0	29	2	0	4	0	14	1	0	0	0	0	5	0
2199223	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU70335	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU10272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU74824	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU53631	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU59153	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4329957	0	0	0	1	1	0	0	0	8	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	12	45	0	0	0	3	0	0	7	1	0	0	1	0	7	0	2	6	1	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU40170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	28	0	0
1077373	0	0	3	1	8	15	0	0	1	0	7	0	0	12	452	108	90	218	35	13	0	0	14	0	0	0	0	41	4	0	5	0	0	306	10	38	0	0	37	0	0	0	41	1	300	0	12	0	680	2	34	0	5	0	0	0	0	0	0	371	0	0
4346863	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU9044	12	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
515747	8	0	0	12	0	0	4	128	1	0	0	1	0	0	1	1	0	0	0	38	24	0	0	0	0	8	0	1	1	0	0	0	0	0	1	9	1	0	0	3	0	0	0	4	0	5	15	0	8	2	0	2	1	0	0	0	0	0	0	0	2	0
4302472	1	0	0	2	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	9	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0
4315804	8	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4300503	0	0	0	0	0	0	0	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240049	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
1060441	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1033687	2	9	0	13	0	0	0	13	9	0	0	1	0	1	0	0	0	0	0	8	42	0	0	0	0	7	25	0	0	0	1	0	0	0	1	0	0	6	0	0	0	0	1	3	0	0	2	0	76	2	3	0	0	0	0	0	0	0	0	0	3	0
851961	0	0	1	0	0	0	0	17	4	0	1	1	1	4	0	0	0	0	0	38	0	0	0	0	0	8	0	2	4	0	2	0	0	0	4	4	0	3	0	0	0	0	0	0	0	2	74	0	0	0	8	0	1	0	0	0	0	1	0	0	4	0
New.CleanUp.ReferenceOTU10212	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	131	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	98	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU79426	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
535359	1	14	0	0	0	0	0	0	1	0	1	1	0	0	3	0	0	1	0	40	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	24	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0
530206	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	21	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
521268	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4479603	0	9	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	2	3	0	2	0	0	0	0	2	1	1	0	0	0	0	0	0	3	5	0	0	10	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
1042479	35	330	5	70	15	16	3	77	154	3	7	121	1	9	183	62	9	5	103	657	89	19	34	0	1	108	20	9	32	1	121	10	23	64	24	116	10	36	1	42	39	7	49	449	126	5	469	0	77	35	54	2	97	50	308	0	0	0	0	1	8	0
1066621	0	5	0	3	0	0	0	1	3	0	0	4	0	0	5	4	0	0	2	10	4	1	0	0	0	2	0	0	0	0	8	0	0	2	0	5	1	2	0	1	1	0	0	14	4	0	7	0	1	0	2	0	2	2	7	0	0	0	0	0	0	0
935742	4	436	2	28	10	1	6	76	52	0	1	23	3	2	30	9	7	2	0	1064	0	1	0	0	0	30	119	5	20	0	5	8	0	45	16	28	0	50	2	0	1	2	160	401	0	6	250	1	0	48	20	2	41	0	0	0	0	0	7	0	0	2
New.CleanUp.ReferenceOTU42822	0	51	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4399781	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
589329	0	0	0	0	0	0	0	6	0	0	0	4	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
851822	0	234	1	3	0	0	0	0	3	0	10	4	0	0	7	4	0	1	0	146	0	0	0	0	0	12	0	3	0	0	3	0	0	0	11	6	0	2	0	5	0	0	12	1	6	4	32	0	0	6	2	0	16	1	0	0	0	0	0	0	0	0
4331006	3	0	0	0	0	0	0	89	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	40	0	0	0	0	0	2	6	1	1	0	0	0	0	0	13	0	0	7	0	0	0	2	0	0	0	1	0	0	0	0	0	8	0
New.CleanUp.ReferenceOTU9475	0	0	0	0	0	0	0	11	0	0	3	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
227285	0	0	0	0	0	0	0	6	0	0	10	0	0	0	14	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
557665	0	0	0	0	1	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	4	0	0	0	0	0	40	0
851935	2	0	0	0	2	1	0	96	13	0	0	1	0	2	0	10	0	0	0	11	0	0	0	0	0	11	0	0	0	0	6	0	1	4	0	9	0	4	0	0	0	0	0	1	0	0	11	0	0	7	0	0	3	0	14	0	0	0	0	4	11	0
763967	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU50497	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
851634	0	0	0	0	0	2	0	0	0	0	0	0	0	0	24	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
239506	0	0	0	0	0	0	0	0	7	0	0	0	0	0	4	0	0	0	26	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	33	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
4454385	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0
134265	17476	0	0	2	0	42	1	4	0	1	0	0	0	1	14	0	294	0	463	0	363	0	0	0	2	5	0	90	4	0	4	0	2	427	0	0	1	0	0	6	0	0	0	0	0	0	80	0	143	1	72	0	0	0	30	1	0	0	0	1	0	1
397273	41	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU39692	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU28426	753	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
74407	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	24	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
545772	0	0	0	0	0	0	0	21	2	0	0	1	0	0	0	4	0	0	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
New.CleanUp.ReferenceOTU59319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
New.CleanUp.ReferenceOTU44280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
New.CleanUp.ReferenceOTU75848	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0
New.ReferenceOTU471	19	47	1	0	0	6	0	0	0	0	0	0	2	0	9	0	1	33	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	4	0	0	0	0	13	0	0	0	39	0	0
New.CleanUp.ReferenceOTU44362	602	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0
New.CleanUp.ReferenceOTU56113	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0	4	0	0
New.CleanUp.ReferenceOTU16100	1	4	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0
760967	1726	3006	22	0	0	66	1	0	0	0	35	2	28	0	564	139	24	1026	242	5	117	0	2	0	3	0	0	76	16	0	106	0	0	5	0	1	1	0	0	2	0	0	251	0	0	2	15	0	7453	2	271	0	0	2	19	195	0	0	0	1392	0	0
1028283	3	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
495394	195	18	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	47	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	6	0	0	0	0	4	0	0	0	41	0	0
New.ReferenceOTU329	21	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
New.CleanUp.ReferenceOTU23875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	10	0	0
