OTUID	SA118VXL	SA001V3L	SA002V1R	SA008V3R	SA009V3R	SA016V3R	SA024V3L	SA053V1R	SA055V3R	SA056V1R	SA057V1R	SA058V1L	SA064V5L	SA066V1R	SA069V3R	SA074V1R	SA076V1R	SA071VXR	SA077V1R	SA078V1R	SA081V1L	SA082V1R	SA087V1L	SA088V3L	SA094V1L	SA096V1R	SA091V1R	SA100V1L	SA101V1L	SA098V1L	SA104V1L	SA105V1L	SA106V1L	SA112V1R	SA115V1L	SA116V1L	SA120V1L	SA122V1L	SA123V1L	SA125V1L	SA126V1L	SA130V1R	SA132VXR	SA133V1R	SA135V1R	SA140V1R	SA141V1R	SA142V1L	SA143V1R	SA144V1L	SA145V1L	SA146V1L	SA147V1L	SA148V1L	SA121VXL	SA138V1R	SA114VXR	SA070V1L	SA084V1L	SA039V5L	SA109V1R	SA127V1L
New.CleanUp.ReferenceOTU49029	0	0	1	0	4	4	0	0	17	4	0	21	2	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	23	0	0	5	0	0	0	1	2	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
New.CleanUp.ReferenceOTU43078	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
New.CleanUp.ReferenceOTU59265	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.ReferenceOTU187	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	137	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
New.CleanUp.ReferenceOTU26015	0	0	0	0	0	21	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
1077793	0	0	0	0	5	11	0	1	0	6	0	2	3	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	3	3	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0
939084	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	4	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
860145	0	0	0	0	156	0	0	0	18	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	14	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1075821	4	15	3615	0	23865	59999	51	4	3036	14065	3	18785	5152	1	1	1	10893	2	2	0	146	0	3	7	61696	3068	2	2	4	4949	21328	1	88520	17527	1	7	1	2917	7267	3	3356	2250	0	1	3	5	9	0	0	4	18	4	4	6	1	6	1	39459	2	2	2723	2
New.CleanUp.ReferenceOTU80983	0	0	0	0	15	114	0	0	4	25	0	14	2	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	27	0	2	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
New.CleanUp.ReferenceOTU28180	0	0	5	0	66	88	0	0	2	10	0	41	11	0	0	0	3	0	0	0	0	0	0	0	37	0	0	0	0	15	29	0	86	4	0	0	0	8	20	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	2	0
