Seed,Method,Scenario,NumRatios,EnergyF,combinedF,obsCombinedF,obsEnergyF,p
1,Feat_Selection,Scenario_X,5,3.718424042406428,11.223846618923078,19.828121434245258,4.381868108850036,0.06930693069306931
2,Feat_Selection,Scenario_X,5,3.2441397028688645,14.516860411648967,19.828121434245258,4.381868108850036,0.06930693069306931
3,Feat_Selection,Scenario_X,5,3.913541377256363,12.703525050108409,19.828121434245258,4.381868108850036,0.06930693069306931
4,Feat_Selection,Scenario_X,5,3.3309714608948653,9.811419517015636,19.828121434245258,4.381868108850036,0.06930693069306931
5,Feat_Selection,Scenario_X,5,4.40823768906316,16.505455378701445,19.828121434245258,4.381868108850036,0.06930693069306931
6,Feat_Selection,Scenario_X,5,4.031321183464627,12.935458766674365,19.828121434245258,4.381868108850036,0.06930693069306931
7,Feat_Selection,Scenario_X,5,4.134034624224239,24.069556226399577,19.828121434245258,4.381868108850036,0.06930693069306931
8,Feat_Selection,Scenario_X,5,5.79635696536643,30.97504037407908,19.828121434245258,4.381868108850036,0.06930693069306931
9,Feat_Selection,Scenario_X,5,3.950516720897941,11.425209312023343,19.828121434245258,4.381868108850036,0.06930693069306931
10,Feat_Selection,Scenario_X,4,6.171748777205641,15.721012673264156,19.828121434245258,4.381868108850036,0.06930693069306931
11,Feat_Selection,Scenario_X,5,3.4791766802584814,12.90988919604869,19.828121434245258,4.381868108850036,0.06930693069306931
12,Feat_Selection,Scenario_X,5,2.974063793254931,16.744020089694576,19.828121434245258,4.381868108850036,0.06930693069306931
13,Feat_Selection,Scenario_X,5,4.284621776819631,13.091917691787668,19.828121434245258,4.381868108850036,0.06930693069306931
14,Feat_Selection,Scenario_X,5,4.361921730013253,13.470854564326967,19.828121434245258,4.381868108850036,0.06930693069306931
15,Feat_Selection,Scenario_X,5,5.899852885564999,16.505459339630885,19.828121434245258,4.381868108850036,0.06930693069306931
16,Feat_Selection,Scenario_X,5,3.7915510872447014,8.87773256419825,19.828121434245258,4.381868108850036,0.06930693069306931
17,Feat_Selection,Scenario_X,5,3.849976019573753,10.436379175949376,19.828121434245258,4.381868108850036,0.06930693069306931
18,Feat_Selection,Scenario_X,5,4.5393335247154125,19.33324403340034,19.828121434245258,4.381868108850036,0.06930693069306931
19,Feat_Selection,Scenario_X,5,4.345884739415611,14.58803721295976,19.828121434245258,4.381868108850036,0.06930693069306931
20,Feat_Selection,Scenario_X,3,4.521505708422844,11.283416099882784,19.828121434245258,4.381868108850036,0.06930693069306931
21,Feat_Selection,Scenario_X,5,3.9928509397430068,12.761348928492053,19.828121434245258,4.381868108850036,0.06930693069306931
22,Feat_Selection,Scenario_X,3,4.3007290325441385,9.620090945196456,19.828121434245258,4.381868108850036,0.06930693069306931
23,Feat_Selection,Scenario_X,3,4.998405067977005,13.139901990330689,19.828121434245258,4.381868108850036,0.06930693069306931
24,Feat_Selection,Scenario_X,5,3.800216947680112,13.652064054187836,19.828121434245258,4.381868108850036,0.06930693069306931
