Seed,Method,Scenario,NumRatios,EnergyF,combinedF,obsCombinedF,obsEnergyF,p
1,Feat_Selection,Scenario_X,5,3.319506141047543,13.953949072259395,24.7034270058223,4.398834452188465,0.0297029702970297
2,Feat_Selection,Scenario_X,5,2.7991767933614806,5.8795148149219765,24.7034270058223,4.398834452188465,0.0297029702970297
3,Feat_Selection,Scenario_X,5,4.003721283768641,11.914011246017942,24.7034270058223,4.398834452188465,0.0297029702970297
4,Feat_Selection,Scenario_X,5,3.7064593780064845,15.37702817333556,24.7034270058223,4.398834452188465,0.0297029702970297
5,Feat_Selection,Scenario_X,5,4.00847397817625,12.799743316250492,24.7034270058223,4.398834452188465,0.0297029702970297
6,Feat_Selection,Scenario_X,5,3.4379646816927565,13.874982077567221,24.7034270058223,4.398834452188465,0.0297029702970297
7,Feat_Selection,Scenario_X,5,3.5890414068761007,11.99048931170979,24.7034270058223,4.398834452188465,0.0297029702970297
8,Feat_Selection,Scenario_X,5,5.574919735946022,26.198061865806466,24.7034270058223,4.398834452188465,0.0297029702970297
9,Feat_Selection,Scenario_X,5,3.9926302529786204,8.32619227689325,24.7034270058223,4.398834452188465,0.0297029702970297
10,Feat_Selection,Scenario_X,3,6.329042569099628,15.475272955516429,24.7034270058223,4.398834452188465,0.0297029702970297
11,Feat_Selection,Scenario_X,5,3.4180961096452798,12.426586587186213,24.7034270058223,4.398834452188465,0.0297029702970297
12,Feat_Selection,Scenario_X,5,3.3415714365041977,9.906869948591588,24.7034270058223,4.398834452188465,0.0297029702970297
13,Feat_Selection,Scenario_X,5,4.500387264809038,15.742801034675171,24.7034270058223,4.398834452188465,0.0297029702970297
14,Feat_Selection,Scenario_X,5,3.9763704811123377,13.14049983904552,24.7034270058223,4.398834452188465,0.0297029702970297
15,Feat_Selection,Scenario_X,5,5.82751328224747,12.73037174910495,24.7034270058223,4.398834452188465,0.0297029702970297
16,Feat_Selection,Scenario_X,5,3.652598777692427,13.031593649638904,24.7034270058223,4.398834452188465,0.0297029702970297
17,Feat_Selection,Scenario_X,5,3.974547361797287,11.968759712759724,24.7034270058223,4.398834452188465,0.0297029702970297
18,Feat_Selection,Scenario_X,5,3.668199345274488,11.36606329984336,24.7034270058223,4.398834452188465,0.0297029702970297
19,Feat_Selection,Scenario_X,5,4.792593137733174,13.605726757564737,24.7034270058223,4.398834452188465,0.0297029702970297
20,Feat_Selection,Scenario_X,5,3.7894103362234817,9.444130274426515,24.7034270058223,4.398834452188465,0.0297029702970297
21,Feat_Selection,Scenario_X,5,3.8272334759609987,10.705498185753827,24.7034270058223,4.398834452188465,0.0297029702970297
22,Feat_Selection,Scenario_X,5,3.425568250942131,12.730367308692228,24.7034270058223,4.398834452188465,0.0297029702970297
23,Feat_Selection,Scenario_X,5,4.3450810497589885,14.902654556328681,24.7034270058223,4.398834452188465,0.0297029702970297
24,Feat_Selection,Scenario_X,5,3.97405062071874,15.08819421118773,24.7034270058223,4.398834452188465,0.0297029702970297
25,Feat_Selection,Scenario_X,5,3.895754435569716,12.71076916107815,24.7034270058223,4.398834452188465,0.0297029702970297
26,Feat_Selection,Scenario_X,5,5.067629609827245,21.16521801814442,24.7034270058223,4.398834452188465,0.0297029702970297
27,Feat_Selection,Scenario_X,5,4.492008324671055,14.739620729598,24.7034270058223,4.398834452188465,0.0297029702970297
28,Feat_Selection,Scenario_X,5,5.327071373866159,16.521718198221624,24.7034270058223,4.398834452188465,0.0297029702970297
29,Feat_Selection,Scenario_X,5,3.7149768788161066,9.123041085241343,24.7034270058223,4.398834452188465,0.0297029702970297
30,Feat_Selection,Scenario_X,5,4.250716143568683,20.148440202077136,24.7034270058223,4.398834452188465,0.0297029702970297
31,Feat_Selection,Scenario_X,5,3.503113548976086,11.806853020461386,24.7034270058223,4.398834452188465,0.0297029702970297
32,Feat_Selection,Scenario_X,5,3.767994506427958,11.3953887369741,24.7034270058223,4.398834452188465,0.0297029702970297
33,Feat_Selection,Scenario_X,5,3.311912259976971,10.58716798875103,24.7034270058223,4.398834452188465,0.0297029702970297
34,Feat_Selection,Scenario_X,5,3.8200939265425786,13.273985443162267,24.7034270058223,4.398834452188465,0.0297029702970297
35,Feat_Selection,Scenario_X,5,4.272105512054989,15.214424151048451,24.7034270058223,4.398834452188465,0.0297029702970297
36,Feat_Selection,Scenario_X,5,4.437106846457131,13.974764752088117,24.7034270058223,4.398834452188465,0.0297029702970297
37,Feat_Selection,Scenario_X,5,4.038842938767286,16.066237861550043,24.7034270058223,4.398834452188465,0.0297029702970297
38,Feat_Selection,Scenario_X,5,3.9679420882670846,12.338885610739348,24.7034270058223,4.398834452188465,0.0297029702970297
39,Feat_Selection,Scenario_X,5,3.1068360217006346,7.945174107272009,24.7034270058223,4.398834452188465,0.0297029702970297
40,Feat_Selection,Scenario_X,5,3.7913919530797546,12.717624582652666,24.7034270058223,4.398834452188465,0.0297029702970297
41,Feat_Selection,Scenario_X,5,3.657224429344106,11.339958618469897,24.7034270058223,4.398834452188465,0.0297029702970297
42,Feat_Selection,Scenario_X,5,3.757979252265173,10.031121096295925,24.7034270058223,4.398834452188465,0.0297029702970297
43,Feat_Selection,Scenario_X,5,3.5571228410257714,10.173501232568427,24.7034270058223,4.398834452188465,0.0297029702970297
44,Feat_Selection,Scenario_X,5,3.4417051453651193,8.040605500260714,24.7034270058223,4.398834452188465,0.0297029702970297
45,Feat_Selection,Scenario_X,5,4.850002871353918,12.935984252116949,24.7034270058223,4.398834452188465,0.0297029702970297
46,Feat_Selection,Scenario_X,5,4.901418852670225,16.242810295726706,24.7034270058223,4.398834452188465,0.0297029702970297
47,Feat_Selection,Scenario_X,5,3.901251087737793,11.256197405760219,24.7034270058223,4.398834452188465,0.0297029702970297
48,Feat_Selection,Scenario_X,5,3.288567786617223,10.262921340779586,24.7034270058223,4.398834452188465,0.0297029702970297
49,Feat_Selection,Scenario_X,4,7.8539498170069955,16.25017685901091,24.7034270058223,4.398834452188465,0.0297029702970297
50,Feat_Selection,Scenario_X,5,3.7167019269993644,10.058582455564082,24.7034270058223,4.398834452188465,0.0297029702970297
51,Feat_Selection,Scenario_X,5,3.847508605348152,13.271135583073681,24.7034270058223,4.398834452188465,0.0297029702970297
52,Feat_Selection,Scenario_X,5,5.727468782297896,18.695914027083813,24.7034270058223,4.398834452188465,0.0297029702970297
53,Feat_Selection,Scenario_X,5,4.321416700799449,10.554157549820124,24.7034270058223,4.398834452188465,0.0297029702970297
54,Feat_Selection,Scenario_X,5,4.2749860375942035,8.566436174847171,24.7034270058223,4.398834452188465,0.0297029702970297
55,Feat_Selection,Scenario_X,5,4.500851842527376,15.510049746665041,24.7034270058223,4.398834452188465,0.0297029702970297
